Ref,Sex,AgeGroup,programme_code,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,GRADUATED
STU5005,1,0,89,3,4,3,2,3,3,5,3,3,1
STU5007,1,0,33,3,2,2,2,4,3,3,2,3,1
STU5012,0,0,97,3,3,2,2,2,3,4,2,3,1
STU5014,0,0,5,2,2,2,2,3,2,2,0,0,0
STU5018,0,0,45,3,3,3,3,3,3,4,2,3,1
STU5016,0,0,1,3,3,3,2,3,2,2,2,3,1
STU5023,1,0,78,3,2,3,2,3,3,4,3,3,1
STU5026,1,0,9,3,2,1,0,4,3,3,3,3,0
STU5029,0,0,96,3,2,2,2,3,3,4,2,3,1
STU5030,0,0,79,3,2,2,2,3,3,4,3,3,1
STU5032,0,0,98,3,3,3,2,3,3,3,3,4,1
STU5035,0,0,45,4,3,4,3,4,3,4,3,4,1
STU5040,1,0,25,3,3,2,2,3,2,4,2,3,1
STU5041,0,0,45,3,3,3,3,3,4,4,3,4,1
STU5042,0,0,17,3,4,3,3,3,3,4,4,3,1
STU5044,0,0,10,3,2,2,2,4,3,3,2,3,0
STU5045,0,0,15,3,3,3,2,3,3,3,3,3,1
STU5046,1,0,77,3,3,3,0,4,3,4,2,3,1
STU5050,0,0,14,3,3,2,3,3,3,3,3,3,1
STU5057,0,0,33,3,2,2,2,3,3,2,3,3,0
STU5058,1,0,29,3,3,2,3,4,3,3,3,3,1
STU5059,0,0,14,4,3,3,3,4,4,4,4,4,1
STU5037,0,0,97,3,3,3,3,4,3,4,3,4,1
STU5054,0,0,18,3,3,2,2,4,3,3,4,4,1
STU5055,0,0,30,3,3,2,2,3,3,3,2,3,0
STU5065,1,0,1,3,3,3,4,3,3,2,2,2,0
STU5066,1,0,11,3,3,3,2,2,2,3,3,3,1
STU5075,0,0,95,2,2,2,1,0,2,2,2,2,0
STU5076,1,0,17,2,2,2,0,3,3,2,2,2,0
STU5078,0,0,15,3,2,2,2,3,3,3,3,3,1
STU5081,1,0,15,3,2,3,2,3,2,2,2,3,0
STU5088,1,0,78,3,2,2,0,2,3,4,2,3,0
STU5085,1,0,17,3,3,4,3,3,3,3,4,3,1
STU5094,0,0,15,3,3,3,2,3,2,3,3,3,1
STU5099,1,0,19,2,2,0,2,2,3,2,2,2,0
STU5100,0,0,25,2,2,2,0,3,2,3,2,3,0
STU5102,1,0,9,2,0,2,1,2,2,2,1,2,0
STU5104,1,0,10,1,1,2,2,0,0,2,0,0,0
STU5109,0,0,10,2,1,1,2,3,2,1,0,0,0
STU5110,0,0,10,3,2,3,2,3,3,2,3,4,1
STU5097,0,0,44,3,2,2,2,3,3,4,2,3,0
STU5121,1,0,9,2,2,0,0,3,2,2,0,1,0
STU5122,1,0,9,3,2,0,0,3,3,3,2,3,0
STU5123,0,0,10,2,2,2,0,4,2,0,2,2,0
STU5130,1,0,14,3,4,3,3,3,0,3,2,0,0
STU5146,0,0,98,4,4,4,3,4,4,4,4,4,1
STU5156,0,0,5,3,2,3,3,4,4,3,3,4,1
STU5157,0,0,15,3,3,4,3,3,3,4,3,3,1
STU5143,0,0,19,3,2,3,3,3,4,4,4,4,1
STU5144,0,0,5,2,3,3,3,4,4,2,0,1,0
STU5160,0,0,30,2,0,0,2,3,2,0,0,3,0
STU5162,1,0,9,2,2,2,2,3,3,2,2,3,0
STU5163,1,0,9,2,0,2,2,3,2,3,1,0,0
STU5177,1,0,17,3,3,4,3,3,3,4,4,3,1
STU5178,0,0,11,2,2,2,2,2,2,2,2,2,0
STU5174,1,0,18,3,2,3,2,3,3,3,2,2,1
STU5184,1,0,42,3,3,3,3,3,3,5,3,3,1
STU5189,1,0,44,2,2,2,2,3,2,3,2,3,0
STU5194,0,0,33,3,2,2,0,4,4,4,3,3,1
STU5200,0,0,5,3,2,2,2,3,3,3,3,3,0
STU5201,0,0,45,3,3,3,3,3,3,4,3,4,1
STU5211,0,0,10,2,0,2,2,3,2,2,2,3,0
STU5212,0,0,17,3,2,3,2,3,4,3,3,3,1
STU5186,0,0,1,3,3,2,3,2,3,3,3,4,1
STU5187,0,0,44,3,3,3,2,3,3,4,4,3,1
STU5207,0,0,41,3,2,2,2,3,3,4,3,3,1
STU5220,0,0,19,3,2,2,2,3,2,3,2,3,0
STU5223,0,0,5,4,4,4,4,5,4,4,4,3,1
STU5225,1,0,42,3,3,3,2,3,3,4,2,3,1
STU5231,0,0,2,3,3,3,3,3,3,2,3,3,1
STU5234,0,0,45,3,3,3,3,3,3,4,3,3,1
STU5240,0,0,42,3,2,3,2,3,3,4,3,4,1
STU5236,0,0,18,2,1,1,2,2,2,0,1,2,0
STU5250,0,0,5,4,3,3,3,4,4,4,3,4,1
STU5247,0,0,14,3,3,3,3,3,4,3,4,4,1
STU5248,0,0,14,4,4,3,4,4,4,4,4,3,1
STU5259,1,0,1,2,2,2,2,2,2,2,2,2,0
STU5260,1,0,5,4,3,3,4,5,4,3,3,3,0
STU5261,1,0,42,3,3,3,3,3,3,3,3,3,1
STU5264,1,0,14,4,4,3,4,5,5,4,3,4,1
STU5269,0,0,17,3,3,3,3,3,4,3,4,3,1
STU5270,0,0,41,3,3,4,3,4,3,3,3,4,1
STU5271,0,0,1,3,3,3,3,2,3,2,3,3,1
STU5280,1,0,2,4,4,5,4,4,4,3,3,4,1
STU5281,0,0,14,3,3,2,3,3,4,4,3,3,1
STU5282,0,0,30,4,3,3,3,4,4,3,3,4,1
STU5283,0,0,5,3,2,4,3,4,3,3,2,2,0
STU5284,0,0,18,3,3,2,3,3,3,3,3,4,1
STU5285,0,0,5,3,3,3,3,3,3,2,3,3,0
STU5286,0,0,97,3,2,2,2,3,3,4,3,3,1
STU5275,0,0,97,3,2,3,2,2,3,3,3,3,1
STU5293,0,0,1,3,2,3,3,2,2,2,3,3,1
STU5294,0,0,17,3,2,2,2,3,3,4,3,3,1
STU5295,0,0,17,2,0,2,2,2,3,3,2,2,0
STU5266,0,0,42,3,2,3,2,3,3,4,2,3,0
STU5267,0,0,5,3,2,2,2,4,3,3,2,3,1
STU5299,0,0,45,3,4,3,4,3,3,4,3,4,1
STU5301,1,0,14,3,3,3,3,3,3,3,3,3,1
STU5302,0,0,29,3,3,2,3,4,3,2,2,3,1
