Ref,ProgAbbrName,SEX,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,GRADUATED
STU5001,B.Sc. Cons. Sci. Ed.,0,3,0,0,2,3,3,4,3,3,1
STU5002,B.Sc. Agron.,0,4,4,4,3,4,3,4,4,4,1
STU5003,B.Sc. Agric. Ed.,1,3,4,3,2,3,3,5,3,3,1
STU5004,B.Sc. Cons. Sci. Ed.,0,3,3,3,3,4,3,3,3,3,1
STU5005,B.Sc. EHFS,1,3,2,2,2,4,3,3,2,3,1
STU5006,B.Sc. Agric. Ed.,1,3,3,3,2,3,3,5,2,3,1
STU5007,B.Sc. Agron.,1,3,3,3,3,3,3,4,3,3,1
STU5008,B.Ed. Secondary (Science),1,2,2,3,2,3,2,2,1.5,3,0
STU5009,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,1.5,2,2,2,2,2,0
STU5010,B.Sc. Cons. Sci. Ed.,0,3,3,2,2,2,3,4,2,3,1
STU5011,BACHELOR OF ARTS IN HUMANITIES,1,2,2,3,2,2,1.5,2,1.5,1,0
STU5012,BACHELOR OF SCIENCE,0,2,2,2,2,3,2,2,0,0,0
STU5013,B.Sc. IT,1,2,2,1.5,2,3,3,2,2,2,0
STU5014,BACHELOR OF ARTS IN HUMANITIES,0,3,3,3,2,3,2,2,2,3,1
STU5015,BACHELOR OF ARTS IN HUMANITIES,1,3,2,2,2,2,3,3,2,3,0
STU5016,B.Sc. FSNT,0,3,3,3,3,3,3,4,2,3,1
STU5017,B.Sc. Cons. Sci. Ed.,0,3,2,2,2,3,3,4,2,3,1
STU5018,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,3,3,4,2,3,4,3,3,3,1
STU5019,B.Sc. IT,0,2,2,1.5,2,4,3,3,1.5,2,0
STU5020,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,4,4,4,3,3,4,3,4,4,1
STU5021,B.Sc. Agricultural Extension,1,3,2,3,2,3,3,4,3,3,1
STU5022,B.Sc. Agron.,1,2,3,2,1,3,2,3,1,2,0
STU5023,BACHELOR OF SOCIAL WORK,0,3,2,3,3,3,3,3,3,3,1
STU5024,B.Sc. IT,1,3,2,1,1.5,4,3,3,3,3,0
STU5025,B.Comm. (New Programme),0,3,3,2,2,3,3,2,2,3,1
STU5026,BACHELOR OF SOCIAL WORK,1,2,2,3,2,2,2,2,2,2,0
STU5027,B.Sc. Cons. Sci.,0,3,2,2,2,3,3,4,2,3,1
STU5028,B.Sc. TADM,0,3,2,2,2,3,3,4,3,3,1
STU5029,B.Sc. Cons. Sci. Ed.,0,3,2,2,2,3,3,3,3,3,1
STU5030,B.Sc. ABE,0,3,3,3,2,3,3,3,3,4,1
STU5031,B.Sc. Agric. Econ. and AgBMgt.,1,2,2,3,2,3,2,4,1.5,2,0
STU5032,B.Sc. Agron.,1,3,4,3,2,3,3,4,3,4,1
STU5033,B.Sc. FSNT,0,4,3,4,3,4,3,4,3,4,1
STU5034,B.Sc. ABE,0,3,4,3,1.5,3,3,3,3,3,0
STU5035,B.Sc. Cons. Sci. Ed.,0,3,3,3,3,4,3,4,3,4,1
STU5036,B.Sc. Cons. Sci.,0,2,1,2,2,2,3,4,1,2,0
STU5037,B.Sc. EHS (N/P),1,3,3,1.5,3,4,4,3,3,3,1
STU5038,B.Sc. Ani. Sci. (Dairy Option),1,3,3,2,2,3,2,4,2,3,1
STU5039,B.Sc. FSNT,0,3,3,3,3,3,4,4,3,4,1
STU5040,B.Comm. (New Programme),0,3,4,3,3,3,3,4,4,3,1
STU5041,B.Sc. Agric. Ed.,1,4,4,4,3,4,4,4,4,4,1
STU5042,B.Sc. Comp. Sc. Ed.,0,3,2,2,2,4,3,3,2,3,0
STU5043,BACHELOR OF SOCIAL WORK,0,3,3,3,2,3,3,3,3,3,1
STU5044,B.Sc. Hort.,1,3,3,3,1.5,4,3,4,2,3,1
STU5045,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,3,3,3,3,2,3,1
STU5046,B.Sc. Agric. Econ. and AgBMgt.,0,4,4,4,4,4,3,4,4,3,1
STU5047,B.NSc. (N/P),1,3,3,2,3,3,3,3,4,4,1
STU5048,B.NSc. (N/P),0,3,3,2,3,3,3,3,3,3,1
STU5049,B.A. Humanities (IDE),0,2,1,2,0,2,2,2,2,2,0
STU5050,B.A. JMC,0,2,1,1.5,2,1.5,2,2,2,2,0
STU5051,B.Sc. EMWR,1,2,2,1,1.5,3,2,2,1.5,2,0
STU5052,B.Sc. EHS (N/P),0,3,3,2,2,4,3,3,4,4,1
STU5053,B.Sc. EMWR,0,3,3,2,2,3,3,3,2,3,0
STU5054,B.Sc. EMWR,0,3,2,2,2,4,4,3,3,4,1
STU5055,B.Sc. EHFS,0,3,2,2,2,3,3,2,3,3,0
STU5056,B.Sc. EMOSH,1,3,3,2,3,4,3,3,3,3,1
STU5057,B.NSc. (N/P),0,4,3,3,3,4,4,4,4,4,1
STU5058,B.Sc. EHFS,0,2,1.5,1,2,3,3,3,1.5,2,0
STU5059,B.Sc. EHFS,0,3,2,1.5,2,3,3,3,2,3,0
STU5060,B.A. Humanities (IDE),1,3,2,2,2,3,3,2,3,3,1
STU5061,B.NSc. (N/P),0,3,2,2,2,3,4,4,3,3,0
STU5062,B.A. Humanities (IDE),0,2,2,2,2,2,2,3,2,3,0
STU5063,BACHELOR OF ARTS IN HUMANITIES,1,3,3,3,4,3,3,2,2,2,0
STU5064,B.A. Humanities (IDE),1,3,3,3,2,2,2,3,3,3,1
STU5065,B.Sc. Comp. Sc. Ed.,0,3,1.5,3,1.5,4,4,3,3,4,1
STU5066,B.Sc. IT,1,2,2,1,1.5,3,3,2,1.5,2,0
STU5067,B.Ed. Primary(Social Studies)IDE,0,3,4,3,4,3,3,3,3,4,1
STU5068,B.Ed. Secondary (Commerce - IDE),1,3,2,2,2,3,4,3,3,3,1
STU5069,B.Sc. Hort.,1,3,2,2,1.5,3,3,5,2,3,0
STU5070,B.Ed. Secondary - IDE,0,3,2,2,2,3,3,3,2,3,0
