Ref,programme_code,Sex,AgeGroup,age,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,Sponsored,GRADUATED
9995002,11,0,0,25,0,2,2,2,2,2,2,3,0,0,0
9995004,42,0,1,27,4,4,4,3,4,3,4,4,4,1,1
9995005,89,1,0,25,3,4,3,2,3,3,5,3,3,1,1
9995006,97,0,1,27,3,3,3,3,4,3,3,3,3,1,1
9995007,33,1,0,25,3,2,2,2,4,3,3,2,3,1,1
9995008,89,1,1,29,3,3,3,2,3,3,5,2,3,1,1
9995009,42,1,1,35,3,3,3,3,3,3,4,3,3,1,1
9995010,4,1,1,31,2,2,3,2,3,2,2,0,3,1,0
9995011,1,0,1,27,2,2,2,2,2,2,2,2,2,1,0
9995012,97,0,0,23,3,3,2,2,2,3,4,2,3,1,1
9995013,1,1,1,28,2,2,3,2,2,0,2,0,1,1,0
9995014,5,0,0,24,2,2,2,2,3,2,2,0,0,1,0
9995015,9,1,1,35,2,2,0,2,3,3,2,2,2,1,0
9995016,1,0,0,25,3,3,3,2,3,2,2,2,3,0,1
9995017,1,1,1,30,3,2,2,2,2,3,3,2,3,1,0
9995018,45,0,0,24,3,3,3,3,3,3,4,2,3,1,1
9995019,97,0,1,29,3,2,2,2,3,3,4,2,3,1,1
9995020,2,1,1,26,3,3,4,2,3,4,3,3,3,1,1
9995021,9,0,1,26,2,2,0,2,4,3,3,0,2,1,0
9995022,2,1,1,26,4,4,4,3,3,4,3,4,4,1,1
9995023,78,1,0,24,3,2,3,2,3,3,4,3,3,1,1
9995024,42,1,1,28,2,3,2,1,3,2,3,1,2,1,0
9995025,15,0,1,27,3,2,3,3,3,3,3,3,3,1,1
9995026,9,1,0,25,3,2,1,0,4,3,3,3,3,1,0
9995027,17,0,1,26,3,3,2,2,3,3,2,2,3,1,1
9995028,15,1,1,32,2,2,3,2,2,2,2,2,2,1,0
9995029,96,0,0,24,3,2,2,2,3,3,4,2,3,1,1
9995030,79,0,0,24,3,2,2,2,3,3,4,3,3,1,1
9995031,97,0,1,26,3,2,2,2,3,3,3,3,3,1,1
9995032,98,0,0,24,3,3,3,2,3,3,3,3,4,1,1
9995033,41,1,1,27,2,2,3,2,3,2,4,0,2,1,0
9995034,42,1,1,26,3,4,3,2,3,3,4,3,4,1,1
9995035,45,0,0,23,4,3,4,3,4,3,4,3,4,1,1
9995036,98,0,1,30,3,4,3,0,3,3,3,3,3,1,0
9995037,97,0,0,25,3,3,3,3,4,3,4,3,4,1,1
9995038,96,0,1,30,2,1,2,2,2,3,4,1,2,1,0
